Mean data for UKR  Province= 10: Khmel'nyts'kyy,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.093,259.29, 24.28, 87.84, 56.06
2013 02  0.092,259.36, 26.06, 88.80, 57.43
2013 03  0.090,259.23, 28.92, 90.39, 59.65
2013 04  0.085,258.65, 28.78, 91.10, 59.94
2013 05  0.083,258.26, 26.36, 88.91, 57.64
2013 06  0.080,258.32, 22.99, 85.62, 54.31
2013 07  0.079,258.44, 21.03, 83.06, 52.04
2013 08  0.079,258.90, 21.39, 84.34, 52.87
2013 09  0.083,259.69, 22.71, 87.25, 54.98
2013 10  0.090,260.85, 22.89, 87.16, 55.02
2013 11  0.102,262.68, 21.95, 87.73, 54.84
2013 12  0.120,264.94, 22.12, 89.61, 55.86
2013 13  0.148,268.28, 23.28, 89.37, 56.32
2013 14  0.189,273.00, 26.67, 88.87, 57.77
2013 15  0.246,278.66, 34.70, 83.79, 59.25
2013 16  0.317,284.40, 45.09, 68.38, 56.73
2013 17  0.385,288.54, 52.57, 49.07, 50.82
2013 18  0.440,291.43, 56.98, 36.26, 46.62
2013 19  0.486,293.02, 57.87, 33.38, 45.63
2013 20  0.523,293.83, 57.82, 35.35, 46.59
2013 21  0.558,294.39, 58.76, 34.74, 46.75
2013 22  0.589,294.60, 60.62, 36.43, 48.53
2013 23  0.617,294.69, 66.43, 36.79, 51.61
2013 24  0.638,294.66, 72.62, 37.29, 54.96
2013 25  0.652,294.82, 78.93, 35.12, 57.03
2013 26  0.659,294.89, 81.07, 33.47, 57.27
2013 27  0.659,294.70, 80.62, 36.43, 58.52
2013 28  0.654,294.39, 79.37, 42.19, 60.78
2013 29  0.653,294.54, 81.14, 42.60, 61.87
2013 30  0.649,294.63, 82.18, 43.18, 62.68
2013 31  0.636,294.42, 80.14, 46.14, 63.14
2013 32  0.623,294.27, 77.92, 47.68, 62.80
2013 33  0.604,293.60, 73.02, 54.27, 63.64
2013 34  0.576,292.51, 65.94, 61.82, 63.88
2013 35  0.541,290.66, 58.93, 72.86, 65.90
2013 36  0.501,288.59, 53.56, 77.72, 65.64
2013 37  0.460,286.65, 47.97, 80.22, 64.10
2013 38  0.426,285.13, 42.72, 82.06, 62.39
2013 39  0.397,284.15, 37.56, 82.45, 60.01
2013 40  0.375,283.54, 34.52, 80.43, 57.48
2013 41  0.359,283.07, 34.60, 69.44, 52.02
2013 42  0.347,282.71, 39.40, 51.03, 45.22
2013 43  0.325,281.73, 42.97, 37.35, 40.16
2013 44  0.300,280.38, 44.83, 25.67, 35.25
2013 45  0.279,278.88, 52.90, 19.45, 36.18
2013 46  0.253,276.49, 52.08, 23.93, 38.01
2013 47  0.232,274.50, 54.81, 25.45, 40.13
2013 48  0.218,272.86, 57.97, 27.55, 42.76
2013 49  0.209,271.54, 61.19, 29.63, 45.41
2013 50  0.204,270.84, 64.33, 24.64, 44.49
2013 51  0.192,269.91, 65.29, 22.08, 43.68
2013 52  0.179,269.12, 63.94, 24.69, 44.32
2014 01  0.164,268.05, 59.33, 33.77, 46.55
2014 02  0.148,266.62, 53.76, 46.96, 50.36
2014 03  0.138,265.63, 51.96, 54.54, 53.25
2014 04  0.136,265.78, 51.45, 53.80, 52.62
2014 05  0.140,266.95, 49.35, 48.17, 48.76
2014 06  0.152,269.28, 49.03, 38.63, 43.83
2014 07  0.172,272.07, 54.28, 28.15, 41.22
2014 08  0.203,275.28, 64.41, 20.25, 42.33
2014 09  0.237,278.41, 75.19, 15.17, 45.18
2014 10  0.273,281.05, 84.26, 12.09, 48.18
2014 11  0.304,283.52, 86.69,  7.87, 47.28
2014 12  0.332,285.38, 88.84,  9.58, 49.21
2014 13  0.358,286.75, 88.14, 11.49, 49.82
2014 14  0.388,287.90, 86.87, 12.40, 49.63
2014 15  0.422,288.83, 84.68, 17.27, 50.98
2014 16  0.460,289.74, 82.52, 25.39, 53.95
2014 17  0.500,290.65, 81.67, 31.22, 56.44
2014 18  0.534,291.44, 80.17, 36.25, 58.21
2014 19  0.566,292.35, 78.28, 39.62, 58.95
2014 20  0.590,292.69, 75.66, 46.06, 60.86
2014 21  0.608,292.59, 73.41, 52.35, 62.88
2014 22  0.627,293.06, 72.55, 51.92, 62.24
2014 23  0.649,293.92, 77.38, 44.36, 60.87
2014 24  0.660,294.29, 81.12, 41.36, 61.24
2014 25  0.667,294.60, 84.62, 37.75, 61.18
2014 26  0.668,294.66, 84.44, 36.15, 60.29
2014 27  0.668,294.87, 83.41, 34.23, 58.82
2014 28  0.663,294.92, 81.98, 35.21, 58.60
2014 29  0.658,295.03, 82.15, 36.35, 59.25
2014 30  0.652,295.16, 82.71, 36.82, 59.76
2014 31  0.644,295.03, 82.59, 39.52, 61.05
2014 32  0.636,294.72, 82.44, 43.14, 62.79
2014 33  0.625,294.33, 81.69, 46.98, 64.33
2014 34  0.612,294.01, 81.53, 46.80, 64.16
2014 35  0.596,293.54, 82.31, 44.45, 63.38
2014 36  0.574,292.81, 82.99, 40.75, 61.87
2014 37  0.549,292.03, 82.23, 36.49, 59.36
2014 38  0.521,291.13, 77.94, 32.33, 55.13
2014 39  0.485,289.47, 70.43, 34.37, 52.40
2014 40  0.448,287.46, 61.83, 39.10, 50.47
2014 41  0.411,285.53, 54.95, 39.16, 47.06
2014 42  0.374,283.80, 49.98, 37.05, 43.51
2014 43  0.335,281.99, 47.03, 34.40, 40.71
2014 44  0.295,279.72, 43.20, 31.36, 37.28
2014 45  0.249,276.63, 42.49, 37.51, 40.00
2014 46  0.198,273.16, 31.20, 49.32, 40.26
2014 47  0.167,270.80, 28.38, 51.20, 39.79
2014 48  0.148,268.82, 29.26, 54.46, 41.86
2014 49  0.135,267.05, 29.50, 62.06, 45.78
2014 50  0.132,266.15, 33.47, 59.77, 46.62
2014 51  0.134,265.82, 39.86, 52.52, 46.19
2014 52  0.134,265.66, 44.44, 48.12, 46.28
2015 01  0.135,265.41, 45.91, 50.34, 48.12
2015 02  0.140,265.71, 50.00, 52.62, 51.31
2015 03  0.150,267.05, 57.38, 46.72, 52.05
2015 04  0.159,268.52, 61.66, 39.14, 50.40
2015 05  0.169,270.12, 60.60, 33.08, 46.84
2015 06  0.179,271.70, 58.71, 28.43, 43.57
2015 07  0.192,273.40, 61.31, 23.33, 42.32
2015 08  0.211,275.90, 67.75, 18.50, 43.13
2015 09  0.232,278.49, 74.04, 15.59, 44.82
2015 10  0.249,280.74, 77.37, 13.97, 45.67
2015 11  0.270,283.18, 77.10,  9.91, 43.50
2015 12  0.285,284.68, 75.17, 12.96, 44.06
2015 13  0.301,286.05, 71.61, 15.05, 43.33
2015 14  0.320,287.36, 67.23, 15.96, 41.60
2015 15  0.351,289.23, 65.01, 15.35, 40.18
2015 16  0.392,290.92, 64.74, 16.52, 40.63
2015 17  0.438,292.46, 65.80, 16.37, 41.09
2015 18  0.482,293.49, 66.95, 18.69, 42.82
2015 19  0.523,294.49, 67.08, 20.52, 43.80
2015 20  0.560,295.15, 67.25, 23.39, 45.32
2015 21  0.588,295.69, 67.19, 22.61, 44.90
2015 22  0.611,296.01, 66.82, 22.80, 44.81
2015 23  0.632,296.43, 70.46, 19.91, 45.19
2015 24  0.645,296.58, 74.16, 17.34, 45.75
2015 25  0.649,296.45, 76.75, 16.97, 46.86
2015 26  0.646,296.24, 75.02, 17.87, 46.44
2015 27  0.639,296.30, 71.90, 17.22, 44.56
2015 28  0.630,296.89, 69.71, 11.35, 40.53
2015 29  0.618,297.45, 68.29,  7.82, 38.05
2015 30  0.605,297.93, 67.12,  6.34, 36.73
2015 31  0.589,298.28, 64.20,  5.40, 34.80
2015 32  0.568,298.45, 58.11,  5.75, 31.93
2015 33  0.545,298.39, 50.55,  6.50, 28.52
2015 34  0.518,297.53, 42.92, 10.86, 26.89
2015 35  0.493,296.32, 40.05, 16.59, 28.32
2015 36  0.474,295.19, 43.24, 19.43, 31.33
2015 37  0.458,293.72, 46.63, 22.44, 34.53
2015 38  0.439,292.01, 47.23, 25.20, 36.22
2015 39  0.420,290.16, 46.41, 28.91, 37.66
2015 40  0.402,288.36, 44.89, 30.59, 37.74
2015 41  0.378,286.40, 42.68, 30.02, 36.35
2015 42  0.348,284.33, 40.56, 32.15, 36.35
2015 43  0.320,282.56, 41.78, 29.63, 35.70
2015 44  0.292,280.99, 42.50, 20.59, 31.54
2015 45  0.263,278.99, 47.27, 19.07, 33.17
2015 46  0.237,276.55, 46.19, 23.88, 35.03
2015 47  0.217,274.43, 48.92, 25.69, 37.31
2015 48  0.204,272.92, 52.15, 26.92, 39.53
2015 49  0.199,271.76, 57.03, 28.25, 42.64
2015 50  0.199,270.87, 62.39, 24.63, 43.51
2015 51  0.192,269.78, 65.85, 23.06, 44.46
2015 52  0.185,268.75, 67.55, 27.07, 47.31
2016 01  0.176,267.73, 66.16, 35.39, 50.77
2016 02  0.166,266.91, 62.94, 44.83, 53.89
2016 03  0.163,267.20, 63.69, 44.99, 54.34
2016 04  0.169,268.59, 66.09, 37.80, 51.94
2016 05  0.182,270.66, 65.54, 29.58, 47.56
2016 06  0.191,272.20, 62.56, 25.60, 44.08
2016 07  0.195,273.22, 61.84, 23.47, 42.65
2016 08  0.192,273.64, 61.02, 27.10, 44.06
2016 09  0.186,273.49, 58.54, 34.98, 46.76
2016 10  0.177,272.81, 52.91, 43.83, 48.37
2016 11  0.251,279.98, 70.62, 22.77, 46.69
2016 12  0.280,282.50, 73.51, 21.89, 47.70
2016 13  0.314,285.23, 75.48, 18.70, 47.09
2016 14  0.350,287.45, 76.17, 15.45, 45.81
2016 15  0.391,289.38, 76.33, 14.47, 45.40
2016 16  0.430,290.51, 74.96, 20.27, 47.61
2016 17  0.464,291.13, 72.78, 28.02, 50.40
2016 18  0.492,291.36, 69.72, 37.49, 53.60
2016 19  0.520,292.07, 66.40, 42.59, 54.50
2016 20  0.547,292.80, 63.62, 45.34, 54.48
2016 21  0.571,293.06, 61.67, 47.85, 54.76
2016 22  0.594,293.22, 61.08, 50.32, 55.70
2016 23  0.616,293.67, 64.31, 46.83, 55.57
2016 24  0.633,294.13, 69.17, 42.88, 56.03
2016 25  0.649,294.54, 76.50, 38.41, 57.45
2016 26  0.657,294.57, 79.22, 37.28, 58.25
2016 27  0.660,294.96, 80.13, 33.18, 56.65
2016 28  0.657,295.70, 80.02, 25.71, 52.87
2016 29  0.648,296.08, 78.86, 24.11, 51.49
2016 30  0.634,296.41, 76.95, 23.45, 50.20
2016 31  0.619,296.90, 74.35, 20.16, 47.26
2016 32  0.603,297.36, 70.73, 16.80, 43.76
2016 33  0.582,297.67, 65.47, 13.71, 39.59
2016 34  0.556,297.68, 58.83,  9.55, 34.19
2016 35  0.528,297.30, 54.87,  7.28, 31.07
2016 36  0.495,296.61, 51.72,  7.41, 29.56
2016 37  0.461,295.25, 47.88, 10.30, 29.09
2016 38  0.430,293.17, 43.69, 15.57, 29.63
2016 39  0.393,289.90, 35.69, 31.05, 33.37
2016 40  0.357,286.68, 26.98, 48.22, 37.60
2016 41  0.319,283.47, 19.53, 64.07, 41.80
2016 42  0.273,279.68, 12.79, 83.10, 47.95
2016 43  0.227,276.24,  9.00, 87.22, 48.11
2016 44  0.190,273.55,  6.80, 83.23, 45.02
2016 45  0.159,270.97,  6.10, 80.93, 43.52
2016 46  0.143,269.34,  8.24, 76.97, 42.60
2016 47  0.128,267.59, 12.62, 72.40, 42.51
2016 48  0.124,266.65, 20.50, 67.84, 44.17
2016 49  0.122,266.24, 24.77, 67.25, 46.01
2016 50  0.120,265.67, 28.69, 62.51, 45.60
2016 51  0.121,265.14, 33.88, 56.65, 45.26
2016 52  0.117,264.49, 35.74, 55.13, 45.43
2017 01  0.113,264.41, 35.05, 55.55, 45.30
2017 02  0.112,264.27, 36.12, 60.04, 48.08
2017 03  0.108,263.97, 37.84, 63.41, 50.63
2017 04  0.105,264.04, 37.69, 62.61, 50.15
2017 05  0.107,265.03, 36.09, 57.13, 46.61
2017 06  0.114,266.54, 35.55, 50.41, 42.98
2017 07  0.129,269.00, 39.32, 40.55, 39.94
2017 08  0.152,271.87, 47.26, 33.74, 40.50
2017 09  0.178,275.22, 55.99, 27.72, 41.85
2017 10  0.206,278.67, 62.90, 21.19, 42.05
2017 11  0.236,281.69, 66.16, 15.09, 40.62
2017 12  0.267,284.18, 69.44, 14.37, 41.90
2017 13  0.300,286.22, 70.99, 13.86, 42.43
2017 14  0.336,288.18, 71.61, 11.67, 41.64
2017 15  0.374,289.74, 70.88, 12.82, 41.85
2017 16  0.408,290.89, 68.70, 18.02, 43.36
2017 17  0.439,291.37, 65.89, 26.79, 46.34
2017 18  0.475,292.14, 64.83, 31.91, 48.37
2017 19  0.513,293.10, 64.15, 34.41, 49.28
2017 20  0.549,293.81, 63.81, 36.90, 50.36
2017 21  0.578,294.06, 63.56, 39.19, 51.37
2017 22  0.604,294.16, 64.03, 41.98, 53.01
2017 23  0.624,294.28, 66.74, 41.80, 54.27
2017 24  0.642,294.59, 72.16, 38.82, 55.49
2017 25  0.658,294.49, 79.62, 39.73, 59.67
2017 26  0.670,294.45, 83.85, 39.40, 61.63
2017 27  0.675,294.72, 84.59, 36.52, 60.55
2017 28  0.674,294.82, 83.93, 37.11, 60.52
2017 29  0.663,294.76, 81.79, 40.56, 61.18
2017 30  0.651,294.95, 80.03, 40.08, 60.06
2017 31  0.640,295.40, 78.58, 36.19, 57.39
2017 32  0.624,295.37, 75.31, 36.97, 56.14
2017 33  0.604,294.87, 70.76, 41.75, 56.26
2017 34  0.577,293.85, 65.01, 48.46, 56.73
2017 35  0.552,293.09, 62.42, 48.91, 55.66
2017 36  0.520,291.85, 60.02, 49.50, 54.76
2017 37  0.486,289.81, 56.34, 55.33, 55.83
2017 38  0.457,288.23, 53.15, 57.33, 55.24
2017 39  0.433,287.08, 50.65, 56.76, 53.70
2017 40  0.401,285.41, 44.47, 60.92, 52.70
2017 41  0.372,283.40, 40.11, 64.26, 52.18
2017 42  0.338,281.13, 36.83, 66.24, 51.54
2017 43  0.314,279.43, 39.70, 59.61, 49.66
2017 44  0.290,277.37, 41.82, 52.32, 47.07
2017 45  0.267,275.69, 48.64, 44.87, 46.76
2017 46  0.247,274.05, 50.03, 42.05, 46.04
2017 47  0.227,272.21, 52.73, 40.92, 46.82
2017 48  0.207,270.44, 53.29, 43.17, 48.23
2017 49  0.183,268.18, 51.65, 51.54, 51.59
2017 50  0.174,267.27, 52.35, 49.20, 50.77
2017 51  0.178,267.45, 58.22, 39.18, 48.70
2017 52  0.179,267.26, 61.25, 36.71, 48.98
2018 01  0.178,267.50, 62.64, 36.67, 49.65
2018 02  0.175,267.07, 63.15, 43.11, 53.13
2018 03  0.170,266.94, 64.14, 45.75, 54.95
2018 04  0.161,266.39, 61.38, 49.43, 55.41
2018 05  0.147,265.61, 52.48, 54.22, 53.35
2018 06  0.133,264.71, 43.14, 58.74, 50.94
2018 07  0.123,263.86, 37.65, 62.31, 49.98
2018 08  0.118,263.07, 35.34, 69.33, 52.34
2018 09  0.115,262.42, 34.10, 77.76, 55.93
</pre></tt>