Mean data for UKR  Province= 5: Dnipropetrovs'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.153,265.60, 69.05, 41.78, 55.42
2013 02  0.146,265.99, 66.96, 36.68, 51.82
2013 03  0.137,266.01, 62.37, 37.28, 49.82
2013 04  0.139,266.69, 62.89, 35.15, 49.02
2013 05  0.149,267.97, 65.12, 31.62, 48.37
2013 06  0.167,270.07, 69.00, 25.42, 47.21
2013 07  0.190,272.37, 72.74, 21.12, 46.93
2013 08  0.218,274.80, 76.93, 17.66, 47.29
2013 09  0.244,277.48, 79.68, 15.49, 47.58
2013 10  0.267,280.16, 79.22, 14.65, 46.93
2013 11  0.283,282.16, 77.35, 16.70, 47.02
2013 12  0.299,284.12, 76.17, 17.83, 47.00
2013 13  0.317,285.96, 75.72, 19.32, 47.52
2013 14  0.343,288.26, 76.35, 18.78, 47.56
2013 15  0.381,291.13, 78.27, 15.80, 47.04
2013 16  0.422,293.72, 79.96, 14.31, 47.13
2013 17  0.460,295.83, 80.28, 16.83, 48.55
2013 18  0.491,297.35, 79.70, 22.25, 50.98
2013 19  0.515,298.36, 77.67, 27.80, 52.73
2013 20  0.532,298.91, 75.36, 31.02, 53.19
2013 21  0.544,299.04, 73.37, 36.62, 54.99
2013 22  0.554,299.18, 70.52, 43.46, 56.99
2013 23  0.561,299.36, 68.69, 43.11, 55.90
2013 24  0.562,299.48, 67.08, 42.36, 54.72
2013 25  0.561,299.58, 65.78, 42.68, 54.23
2013 26  0.556,299.51, 63.17, 45.57, 54.37
2013 27  0.550,299.54, 60.93, 46.51, 53.72
2013 28  0.541,299.55, 59.53, 46.73, 53.13
2013 29  0.526,299.28, 56.46, 48.23, 52.35
2013 30  0.508,299.34, 53.95, 47.59, 50.77
2013 31  0.486,299.44, 50.20, 44.04, 47.12
2013 32  0.458,299.15, 44.14, 42.12, 43.13
2013 33  0.426,298.21, 36.28, 47.92, 42.10
2013 34  0.395,296.87, 28.13, 59.22, 43.68
2013 35  0.364,294.87, 21.08, 74.11, 47.60
2013 36  0.333,292.42, 15.79, 85.14, 50.46
2013 37  0.309,290.31, 13.98, 89.86, 51.92
2013 38  0.290,288.49, 14.52, 91.73, 53.12
2013 39  0.279,287.12, 18.80, 87.96, 53.38
2013 40  0.272,285.85, 26.28, 80.12, 53.20
2013 41  0.269,284.84, 34.06, 65.47, 49.78
2013 42  0.264,283.83, 39.05, 51.99, 45.54
2013 43  0.261,283.11, 42.12, 38.00, 40.07
2013 44  0.255,282.11, 43.55, 24.21, 33.88
2013 45  0.251,280.85, 59.58, 14.19, 36.88
2013 46  0.240,278.70, 61.48, 13.67, 37.58
2013 47  0.229,276.82, 63.66, 12.28, 37.97
2013 48  0.216,274.87, 64.84, 13.96, 39.40
2013 49  0.197,272.83, 63.86, 16.50, 40.18
2013 50  0.179,271.45, 61.04, 17.76, 39.40
2013 51  0.161,270.14, 60.54, 21.34, 40.94
2013 52  0.148,269.04, 61.39, 25.01, 43.20
2014 01  0.140,268.08, 64.07, 27.97, 46.02
2014 02  0.131,266.97, 61.37, 31.72, 46.54
2014 03  0.124,266.27, 57.96, 36.67, 47.31
2014 04  0.122,266.52, 56.48, 37.15, 46.81
2014 05  0.124,267.51, 55.76, 34.02, 44.89
2014 06  0.131,269.41, 56.18, 28.12, 42.15
2014 07  0.146,272.01, 57.75, 22.49, 40.12
2014 08  0.170,275.20, 62.24, 16.32, 39.28
2014 09  0.199,278.63, 66.92, 11.59, 39.26
2014 10  0.232,282.08, 70.59,  8.21, 39.40
2014 11  0.262,285.24, 73.16,  5.28, 39.22
2014 12  0.290,287.87, 75.45,  3.83, 39.64
2014 13  0.315,289.89, 76.67,  4.66, 40.67
2014 14  0.343,291.70, 77.48,  5.96, 41.72
2014 15  0.375,293.10, 77.85,  8.05, 42.95
2014 16  0.411,294.17, 78.32, 12.41, 45.36
2014 17  0.450,295.11, 78.68, 20.66, 49.67
2014 18  0.485,295.99, 78.72, 30.49, 54.61
2014 19  0.516,297.00, 78.16, 37.13, 57.65
2014 20  0.537,297.42, 76.74, 42.39, 59.56
2014 21  0.552,297.49, 75.52, 48.80, 62.16
2014 22  0.565,297.71, 73.83, 54.92, 64.37
2014 23  0.579,298.11, 75.33, 53.50, 64.41
2014 24  0.584,298.19, 75.82, 53.79, 64.81
2014 25  0.582,298.25, 74.41, 54.87, 64.64
2014 26  0.576,298.41, 70.98, 55.42, 63.20
2014 27  0.565,298.79, 66.76, 52.75, 59.75
2014 28  0.547,299.34, 62.18, 48.56, 55.37
2014 29  0.526,300.15, 57.58, 41.80, 49.69
2014 30  0.503,301.02, 53.22, 34.49, 43.86
2014 31  0.477,301.52, 47.85, 27.32, 37.59
2014 32  0.452,301.70, 42.92, 20.77, 31.85
2014 33  0.430,301.38, 37.99, 19.84, 28.91
2014 34  0.410,300.83, 33.82, 21.97, 27.89
2014 35  0.391,300.05, 31.61, 23.38, 27.49
2014 36  0.376,298.97, 31.89, 20.57, 26.23
2014 37  0.361,297.96, 32.86, 15.46, 24.16
2014 38  0.346,296.70, 34.34, 14.13, 24.24
2014 39  0.331,294.82, 36.22, 16.21, 26.22
2014 40  0.320,292.72, 40.56, 18.30, 29.43
2014 41  0.308,290.47, 44.79, 17.12, 30.96
2014 42  0.293,288.14, 46.52, 15.82, 31.17
2014 43  0.280,286.18, 46.95, 14.64, 30.80
2014 44  0.265,284.05, 46.31, 11.70, 29.01
2014 45  0.245,281.46, 58.92, 10.67, 34.79
2014 46  0.222,278.73, 57.36, 14.30, 35.83
2014 47  0.196,275.59, 54.73, 22.34, 38.54
2014 48  0.171,272.89, 51.93, 28.15, 40.04
2014 49  0.150,270.45, 49.11, 31.14, 40.12
2014 50  0.135,268.45, 45.60, 34.89, 40.24
2014 51  0.124,267.14, 46.44, 37.70, 42.07
2014 52  0.116,266.00, 48.05, 41.31, 44.68
2015 01  0.113,265.45, 52.39, 42.42, 47.41
2015 02  0.110,265.21, 52.10, 41.13, 46.61
2015 03  0.112,265.95, 52.42, 38.16, 45.29
2015 04  0.126,267.91, 57.92, 30.62, 44.27
2015 05  0.145,270.30, 63.91, 22.78, 43.35
2015 06  0.163,272.65, 67.98, 16.06, 42.02
2015 07  0.179,275.05, 69.76, 11.36, 40.56
2015 08  0.199,277.88, 72.16,  6.81, 39.48
2015 09  0.217,280.74, 72.76,  4.43, 38.60
2015 10  0.232,283.00, 70.55,  5.17, 37.86
2015 11  0.247,284.77, 68.88,  7.01, 37.95
2015 12  0.262,286.15, 68.05, 10.24, 39.14
2015 13  0.282,287.62, 68.27, 13.10, 40.68
2015 14  0.307,289.45, 68.90, 14.29, 41.59
2015 15  0.336,291.19, 69.11, 15.54, 42.32
2015 16  0.372,293.01, 69.88, 17.50, 43.69
2015 17  0.416,294.85, 71.36, 22.12, 46.74
2015 18  0.456,296.25, 72.66, 29.16, 50.91
2015 19  0.488,296.89, 72.09, 38.64, 55.37
2015 20  0.520,297.56, 72.57, 42.18, 57.38
2015 21  0.551,298.88, 75.12, 38.15, 56.64
2015 22  0.570,299.42, 75.09, 41.71, 58.40
2015 23  0.581,299.54, 75.81, 41.84, 58.82
2015 24  0.587,299.20, 76.43, 44.82, 60.62
2015 25  0.588,298.60, 76.07, 50.96, 63.52
2015 26  0.589,298.05, 75.54, 57.58, 66.56
2015 27  0.593,297.75, 76.22, 60.27, 68.25
2015 28  0.594,297.88, 77.24, 58.54, 67.89
2015 29  0.588,298.12, 77.56, 56.23, 66.89
2015 30  0.578,298.43, 77.28, 53.97, 65.63
2015 31  0.561,298.60, 75.73, 50.35, 63.04
2015 32  0.534,298.64, 71.07, 46.11, 58.59
2015 33  0.508,298.89, 66.28, 41.92, 54.10
2015 34  0.483,299.08, 60.90, 38.62, 49.76
2015 35  0.453,298.97, 54.85, 34.29, 44.57
2015 36  0.424,298.95, 49.94, 21.26, 35.60
2015 37  0.399,298.46, 47.00, 11.32, 29.16
2015 38  0.375,297.55, 44.80,  6.72, 25.76
2015 39  0.349,295.96, 42.25,  6.32, 24.29
2015 40  0.325,293.52, 42.41, 11.95, 27.18
2015 41  0.302,290.92, 43.51, 13.84, 28.68
2015 42  0.278,288.71, 43.37, 11.62, 27.51
2015 43  0.254,286.24, 41.65, 14.92, 28.31
2015 44  0.229,283.79, 39.16, 14.27, 26.74
2015 45  0.201,281.15, 46.80, 13.87, 30.34
2015 46  0.177,278.02, 44.42, 20.01, 32.21
2015 47  0.158,275.14, 43.04, 25.30, 34.17
2015 48  0.145,273.05, 42.66, 26.66, 34.66
2015 49  0.135,271.37, 42.97, 25.41, 34.19
2015 50  0.130,270.15, 42.82, 25.25, 34.04
2015 51  0.125,269.07, 46.05, 27.44, 36.75
2015 52  0.121,268.12, 49.79, 30.15, 39.97
2016 01  0.117,266.56, 53.59, 36.31, 44.95
2016 02  0.112,265.32, 52.90, 40.22, 46.56
2016 03  0.112,265.42, 52.36, 40.68, 46.52
2016 04  0.112,266.18, 51.79, 38.74, 45.27
2016 05  0.115,267.73, 51.21, 33.03, 42.12
2016 06  0.119,270.05, 50.71, 25.28, 38.00
2016 07  0.125,272.41, 49.20, 20.49, 34.85
2016 08  0.132,274.53, 48.09, 18.09, 33.09
2016 09  0.136,276.17, 45.68, 19.26, 32.47
2016 10  0.145,278.04, 43.00, 21.16, 32.08
2016 11  0.188,282.75, 51.55, 14.50, 33.02
2016 12  0.212,285.22, 54.71, 13.69, 34.20
2016 13  0.242,287.77, 58.34, 12.42, 35.38
2016 14  0.276,290.36, 61.95, 10.80, 36.38
2016 15  0.312,292.10, 64.08, 11.99, 38.03
2016 16  0.355,293.49, 66.62, 15.56, 41.09
2016 17  0.397,294.14, 67.80, 26.17, 46.99
2016 18  0.432,294.02, 67.87, 43.50, 55.69
2016 19  0.464,294.17, 66.95, 58.35, 62.65
2016 20  0.494,294.55, 66.83, 66.39, 66.61
2016 21  0.521,294.90, 67.54, 72.15, 69.84
2016 22  0.543,295.33, 67.47, 75.04, 71.26
2016 23  0.561,295.89, 69.20, 71.95, 70.58
2016 24  0.578,296.53, 73.07, 67.55, 70.31
2016 25  0.591,297.21, 76.93, 63.10, 70.01
2016 26  0.597,297.75, 78.03, 60.12, 69.07
2016 27  0.598,298.36, 77.53, 55.57, 66.55
2016 28  0.590,298.79, 76.01, 52.03, 64.02
2016 29  0.577,299.19, 74.05, 48.71, 61.38
2016 30  0.561,299.40, 71.88, 46.94, 59.41
2016 31  0.541,299.52, 69.24, 43.21, 56.23
2016 32  0.519,299.41, 65.49, 39.81, 52.65
2016 33  0.496,299.34, 61.19, 37.95, 49.57
2016 34  0.473,299.30, 56.62, 36.52, 46.57
2016 35  0.447,298.80, 51.81, 35.93, 43.87
2016 36  0.421,297.95, 47.88, 31.29, 39.59
2016 37  0.393,296.58, 44.11, 29.78, 36.93
2016 38  0.365,294.75, 40.80, 33.83, 37.32
2016 39  0.339,292.28, 38.50, 41.38, 39.94
2016 40  0.316,289.51, 39.50, 48.37, 43.93
2016 41  0.298,286.93, 42.06, 48.25, 45.15
2016 42  0.279,284.49, 43.18, 46.80, 45.00
2016 43  0.260,282.35, 42.65, 43.87, 43.27
2016 44  0.244,280.46, 41.89, 35.38, 38.63
2016 45  0.224,278.09, 52.85, 33.32, 43.08
2016 46  0.207,275.79, 52.95, 34.85, 43.90
2016 47  0.192,273.46, 53.32, 38.14, 45.73
2016 48  0.176,271.13, 53.14, 40.35, 46.75
2016 49  0.160,268.90, 52.34, 40.72, 46.53
2016 50  0.141,266.85, 47.77, 44.41, 46.09
2016 51  0.124,265.21, 46.15, 48.67, 47.41
2016 52  0.113,264.13, 45.94, 51.86, 48.90
2017 01  0.104,263.36, 47.44, 54.50, 50.97
2017 02  0.098,262.76, 46.11, 54.70, 50.40
2017 03  0.093,262.37, 43.08, 56.74, 49.91
2017 04  0.090,262.35, 41.37, 55.47, 48.42
2017 05  0.093,263.18, 41.04, 52.00, 46.52
2017 06  0.098,264.71, 41.42, 46.77, 44.09
2017 07  0.109,267.31, 42.36, 40.39, 41.37
2017 08  0.127,271.22, 46.17, 30.41, 38.29
2017 09  0.151,275.92, 50.66, 20.58, 35.62
2017 10  0.174,279.69, 52.24, 16.04, 34.14
2017 11  0.203,283.46, 55.46, 11.95, 33.71
2017 12  0.233,286.70, 59.72,  8.63, 34.17
2017 13  0.267,289.57, 63.94,  6.87, 35.41
2017 14  0.297,291.60, 65.86,  7.41, 36.63
2017 15  0.332,293.51, 67.48,  7.85, 37.66
2017 16  0.372,295.32, 69.03,  9.11, 39.07
2017 17  0.411,296.25, 69.46, 15.99, 42.72
2017 18  0.448,297.18, 69.88, 24.36, 47.12
2017 19  0.483,298.12, 69.69, 30.54, 50.11
2017 20  0.510,298.54, 69.00, 34.93, 51.96
2017 21  0.532,298.66, 68.72, 40.42, 54.56
2017 22  0.545,298.33, 66.25, 50.23, 58.24
2017 23  0.554,298.63, 65.11, 49.29, 57.20
2017 24  0.562,299.21, 65.86, 44.90, 55.38
2017 25  0.565,298.96, 66.22, 48.39, 57.31
2017 26  0.565,298.74, 65.26, 52.24, 58.75
2017 27  0.564,298.85, 64.82, 51.89, 58.35
2017 28  0.557,298.85, 64.10, 51.77, 57.93
2017 29  0.549,299.18, 63.65, 48.60, 56.12
2017 30  0.537,299.96, 63.13, 42.07, 52.60
2017 31  0.518,300.73, 60.75, 33.12, 46.94
2017 32  0.493,301.12, 56.73, 25.89, 41.31
2017 33  0.463,300.86, 50.21, 25.14, 37.67
2017 34  0.432,300.50, 42.98, 25.72, 34.35
2017 35  0.404,299.95, 37.49, 25.10, 31.30
2017 36  0.379,298.84, 33.67, 23.19, 28.43
2017 37  0.358,297.08, 32.49, 25.32, 28.90
2017 38  0.339,295.14, 32.12, 30.21, 31.16
2017 39  0.317,292.94, 31.66, 35.23, 33.45
2017 40  0.291,290.26, 32.38, 41.79, 37.08
2017 41  0.256,286.58, 31.28, 51.28, 41.29
2017 42  0.225,282.78, 30.13, 60.16, 45.17
2017 43  0.200,280.22, 28.40, 65.76, 47.09
2017 44  0.177,277.24, 27.56, 55.31, 41.42
2017 45  0.163,274.69, 34.84, 53.69, 44.27
2017 46  0.156,272.82, 36.99, 52.49, 44.74
2017 47  0.151,271.35, 39.74, 50.70, 45.22
2017 48  0.146,270.10, 42.19, 46.42, 44.31
2017 49  0.136,268.49, 44.42, 41.03, 42.73
2017 50  0.133,267.84, 43.33, 39.42, 41.38
2017 51  0.128,266.97, 46.94, 39.47, 43.21
2017 52  0.125,266.24, 50.76, 40.77, 45.77
2018 01  0.123,265.98, 55.99, 40.42, 48.21
2018 02  0.118,265.60, 55.40, 39.80, 47.60
2018 03  0.114,265.29, 53.11, 42.08, 47.60
2018 04  0.114,265.30, 52.24, 42.87, 47.55
2018 05  0.115,265.35, 51.23, 43.50, 47.37
2018 06  0.121,265.95, 51.10, 42.27, 46.69
2018 07  0.131,266.76, 51.32, 42.96, 47.14
2018 08  0.142,267.49, 51.79, 44.29, 48.04
2018 09  0.144,267.52, 48.18, 49.78, 48.98
</pre></tt>