Mean data for UKR  Province= 6: Donets'k,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.114,264.56, 51.63, 48.97, 50.30
2013 02  0.110,264.54, 51.52, 50.79, 51.15
2013 03  0.107,264.67, 52.71, 50.23, 51.47
2013 04  0.113,265.55, 56.89, 46.18, 51.53
2013 05  0.122,266.89, 59.42, 40.05, 49.73
2013 06  0.136,269.39, 61.22, 31.52, 46.37
2013 07  0.157,272.41, 63.48, 23.96, 43.72
2013 08  0.179,275.29, 67.53, 18.79, 43.16
2013 09  0.199,277.79, 70.63, 15.16, 42.90
2013 10  0.219,280.63, 71.81, 12.17, 41.99
2013 11  0.235,282.97, 70.83, 14.12, 42.48
2013 12  0.252,285.18, 71.13, 15.80, 43.46
2013 13  0.274,287.33, 72.01, 17.10, 44.56
2013 14  0.304,289.78, 73.28, 14.35, 43.81
2013 15  0.345,292.55, 75.76, 10.93, 43.35
2013 16  0.390,294.81, 77.22, 10.22, 43.72
2013 17  0.432,296.71, 77.51,  9.87, 43.69
2013 18  0.469,298.14, 77.52, 11.67, 44.59
2013 19  0.499,299.15, 76.45, 14.50, 45.48
2013 20  0.521,299.79, 74.71, 16.69, 45.70
2013 21  0.537,300.06, 72.83, 21.67, 47.25
2013 22  0.547,300.21, 69.31, 25.24, 47.28
2013 23  0.551,300.34, 64.22, 26.12, 45.17
2013 24  0.548,300.51, 59.88, 26.64, 43.26
2013 25  0.542,300.73, 57.99, 27.00, 42.49
2013 26  0.531,300.82, 54.48, 30.20, 42.34
2013 27  0.516,300.96, 49.57, 32.18, 40.87
2013 28  0.500,300.98, 46.53, 34.60, 40.56
2013 29  0.480,300.59, 41.52, 38.98, 40.25
2013 30  0.462,300.61, 38.80, 39.31, 39.06
2013 31  0.445,300.69, 36.97, 38.49, 37.73
2013 32  0.423,300.10, 32.86, 41.77, 37.31
2013 33  0.398,298.90, 26.78, 50.62, 38.70
2013 34  0.376,297.53, 22.25, 61.01, 41.63
2013 35  0.357,295.57, 20.13, 73.64, 46.89
2013 36  0.335,292.99, 17.70, 85.19, 51.45
2013 37  0.316,290.70, 17.45, 90.00, 53.73
2013 38  0.303,288.83, 20.21, 91.22, 55.72
2013 39  0.298,287.45, 27.31, 87.67, 57.49
2013 40  0.295,286.09, 35.24, 82.14, 58.69
2013 41  0.294,284.92, 43.20, 72.18, 57.69
2013 42  0.289,283.69, 48.03, 59.09, 53.56
2013 43  0.288,282.98, 52.84, 38.77, 45.80
2013 44  0.282,282.12, 55.48, 20.77, 38.12
2013 45  0.272,280.72, 65.48, 11.88, 38.67
2013 46  0.256,278.38, 65.98, 12.73, 39.34
2013 47  0.239,276.31, 66.41, 12.93, 39.67
2013 48  0.222,274.50, 65.39, 11.76, 38.58
2013 49  0.202,272.80, 60.28, 10.41, 35.35
2013 50  0.181,271.24, 56.00, 12.35, 34.18
2013 51  0.163,269.96, 56.01, 17.41, 36.72
2013 52  0.148,268.81, 58.85, 23.54, 41.20
2014 01  0.142,268.12, 69.26, 28.01, 48.63
2014 02  0.134,267.15, 67.24, 35.49, 51.37
2014 03  0.128,266.38, 65.39, 41.43, 53.41
2014 04  0.125,266.30, 63.60, 43.56, 53.57
2014 05  0.126,266.96, 62.20, 40.29, 51.24
2014 06  0.132,268.37, 60.46, 36.18, 48.32
2014 07  0.144,270.74, 59.88, 30.74, 45.31
2014 08  0.164,273.80, 63.61, 24.34, 43.98
2014 09  0.190,277.33, 69.23, 16.90, 43.06
2014 10  0.223,281.17, 75.67, 10.44, 43.06
2014 11  0.251,284.61, 78.27,  8.09, 43.18
2014 12  0.279,287.47, 80.79,  7.42, 44.10
2014 13  0.306,289.66, 81.97,  8.87, 45.42
2014 14  0.336,291.45, 82.56,  8.64, 45.60
2014 15  0.371,292.73, 82.98, 10.37, 46.67
2014 16  0.414,293.61, 83.43, 14.70, 49.07
2014 17  0.462,294.43, 84.53, 20.15, 52.34
2014 18  0.505,295.31, 85.32, 28.35, 56.84
2014 19  0.541,296.35, 85.74, 34.74, 60.24
2014 20  0.564,296.85, 84.72, 40.08, 62.40
2014 21  0.580,297.24, 84.04, 44.61, 64.32
2014 22  0.589,297.58, 82.53, 47.05, 64.79
2014 23  0.597,297.92, 81.97, 47.72, 64.84
2014 24  0.597,297.93, 80.77, 51.72, 66.24
2014 25  0.593,298.11, 78.80, 53.42, 66.11
2014 26  0.587,298.49, 75.93, 52.92, 64.43
2014 27  0.579,298.96, 72.86, 49.75, 61.30
2014 28  0.567,299.37, 70.27, 47.53, 58.90
2014 29  0.551,300.06, 67.22, 42.75, 54.99
2014 30  0.532,300.81, 63.49, 37.24, 50.37
2014 31  0.508,301.32, 58.79, 33.08, 45.93
2014 32  0.482,301.66, 53.37, 28.55, 40.96
2014 33  0.458,301.51, 47.82, 27.48, 37.65
2014 34  0.436,300.99, 43.74, 28.96, 36.35
2014 35  0.415,300.14, 41.20, 28.84, 35.02
2014 36  0.397,298.85, 40.47, 27.97, 34.22
2014 37  0.380,297.57, 41.35, 25.26, 33.30
2014 38  0.363,296.16, 43.34, 23.97, 33.65
2014 39  0.345,294.32, 45.37, 25.68, 35.53
2014 40  0.331,292.16, 48.37, 29.43, 38.90
2014 41  0.317,289.69, 51.15, 30.18, 40.67
2014 42  0.295,287.23, 50.78, 28.22, 39.51
2014 43  0.278,285.19, 51.24, 22.59, 36.92
2014 44  0.259,282.78, 50.72, 16.78, 33.75
2014 45  0.237,280.03, 55.64, 16.35, 35.98
2014 46  0.210,277.33, 52.92, 19.12, 36.00
2014 47  0.178,274.59, 47.82, 23.33, 35.57
2014 48  0.154,272.04, 43.22, 25.93, 34.57
2014 49  0.137,269.73, 38.66, 27.10, 32.88
2014 50  0.126,268.04, 36.58, 29.33, 32.95
2014 51  0.119,266.68, 38.11, 35.34, 36.73
2014 52  0.111,265.32, 41.28, 43.98, 42.63
2015 01  0.110,264.70, 51.29, 49.00, 50.15
2015 02  0.108,264.37, 52.09, 52.12, 52.11
2015 03  0.107,264.86, 53.98, 49.40, 51.69
2015 04  0.115,266.40, 59.08, 42.07, 50.58
2015 05  0.126,268.66, 62.97, 31.74, 47.36
2015 06  0.141,271.25, 65.06, 23.38, 44.22
2015 07  0.158,274.15, 66.05, 16.85, 41.45
2015 08  0.176,277.56, 68.76, 10.30, 39.53
2015 09  0.189,280.42, 69.21,  5.97, 37.59
2015 10  0.200,282.86, 68.04,  4.53, 36.28
2015 11  0.212,284.72, 65.74,  7.57, 36.65
2015 12  0.223,285.72, 64.15, 13.55, 38.85
2015 13  0.238,286.87, 63.40, 18.54, 40.97
2015 14  0.256,288.11, 61.95, 19.96, 40.96
2015 15  0.284,289.64, 61.58, 21.04, 41.31
2015 16  0.320,291.63, 62.11, 22.11, 42.11
2015 17  0.366,293.86, 63.74, 22.93, 43.33
2015 18  0.413,295.57, 65.69, 27.06, 46.37
2015 19  0.455,296.34, 66.82, 35.44, 51.13
2015 20  0.494,297.21, 68.37, 38.05, 53.21
2015 21  0.530,298.81, 71.14, 32.45, 51.79
2015 22  0.549,299.15, 69.96, 34.62, 52.29
2015 23  0.560,299.41, 68.00, 34.89, 51.45
2015 24  0.563,299.36, 66.30, 38.08, 52.19
2015 25  0.563,299.21, 66.89, 42.31, 54.60
2015 26  0.562,299.14, 67.20, 46.54, 56.87
2015 27  0.561,299.14, 67.06, 48.09, 57.58
2015 28  0.557,299.65, 67.98, 45.20, 56.59
2015 29  0.550,300.25, 67.91, 41.07, 54.49
2015 30  0.538,300.74, 66.54, 37.42, 51.98
2015 31  0.521,300.87, 64.05, 36.34, 50.19
2015 32  0.496,300.80, 59.02, 35.32, 47.17
2015 33  0.472,301.02, 53.81, 31.46, 42.64
2015 34  0.451,301.02, 49.94, 28.44, 39.19
2015 35  0.428,300.56, 46.57, 24.92, 35.75
2015 36  0.406,300.07, 44.70, 16.26, 30.48
2015 37  0.388,299.24, 44.91,  9.63, 27.27
2015 38  0.371,298.11, 46.87,  6.31, 26.59
2015 39  0.349,296.20, 46.63,  8.96, 27.79
2015 40  0.328,293.37, 47.20, 19.09, 33.15
2015 41  0.308,290.40, 48.77, 24.10, 36.44
2015 42  0.285,287.80, 48.15, 23.43, 35.79
2015 43  0.258,284.80, 46.40, 25.43, 35.91
2015 44  0.232,282.15, 44.15, 20.85, 32.48
2015 45  0.206,279.59, 46.51, 19.07, 32.78
2015 46  0.184,276.82, 44.56, 21.94, 33.24
2015 47  0.168,274.40, 44.09, 23.95, 34.02
2015 48  0.158,272.78, 44.13, 21.42, 32.78
2015 49  0.150,271.51, 42.76, 17.30, 30.04
2015 50  0.145,270.66, 43.07, 15.52, 29.30
2015 51  0.140,269.87, 47.11, 18.01, 32.56
2015 52  0.133,268.77, 52.67, 23.64, 38.16
2016 01  0.128,267.37, 62.20, 32.56, 47.38
2016 02  0.127,267.04, 64.31, 36.07, 50.19
2016 03  0.131,268.00, 68.17, 32.01, 50.09
2016 04  0.137,269.67, 70.73, 25.38, 48.05
2016 05  0.146,271.90, 72.38, 16.33, 44.35
2016 06  0.157,274.23, 71.47, 10.21, 40.83
2016 07  0.165,276.39, 68.28,  7.87, 38.07
2016 08  0.173,278.38, 66.40,  7.18, 36.79
2016 09  0.177,280.09, 64.05,  6.78, 35.41
2016 10  0.183,281.69, 61.60,  8.20, 34.90
2016 11  0.222,284.70, 68.85,  7.65, 38.25
2016 12  0.244,286.85, 70.66,  9.49, 40.08
2016 13  0.270,288.53, 72.48, 12.63, 42.56
2016 14  0.300,290.23, 73.72, 12.74, 43.23
2016 15  0.334,291.64, 74.00, 14.12, 44.06
2016 16  0.375,292.88, 74.83, 17.37, 46.10
2016 17  0.420,293.28, 75.59, 25.28, 50.44
2016 18  0.461,292.93, 76.09, 42.16, 59.12
2016 19  0.500,293.53, 76.71, 55.23, 65.97
2016 20  0.533,294.39, 77.50, 60.22, 68.86
2016 21  0.557,294.87, 78.24, 64.41, 71.32
2016 22  0.573,295.39, 77.49, 65.66, 71.58
2016 23  0.581,296.12, 75.88, 64.01, 69.94
2016 24  0.586,297.16, 75.67, 59.30, 67.49
2016 25  0.586,298.17, 75.87, 53.03, 64.45
2016 26  0.579,299.04, 73.48, 47.70, 60.59
2016 27  0.568,299.88, 69.35, 41.64, 55.50
2016 28  0.551,300.47, 64.92, 38.39, 51.65
2016 29  0.532,300.77, 60.34, 37.04, 48.69
2016 30  0.511,300.95, 55.93, 36.25, 46.09
2016 31  0.492,301.08, 52.96, 35.22, 44.09
2016 32  0.471,300.70, 49.14, 37.03, 43.08
2016 33  0.454,300.35, 45.93, 38.26, 42.10
2016 34  0.442,300.17, 45.11, 37.17, 41.14
2016 35  0.424,299.30, 43.99, 37.58, 40.79
2016 36  0.407,297.95, 43.74, 37.27, 40.50
2016 37  0.384,295.87, 42.75, 41.97, 42.36
2016 38  0.361,293.36, 42.33, 50.89, 46.61
2016 39  0.340,290.67, 43.08, 59.79, 51.44
2016 40  0.322,287.70, 44.58, 68.87, 56.72
2016 41  0.305,284.92, 46.77, 72.36, 59.57
2016 42  0.288,282.68, 48.00, 67.81, 57.90
2016 43  0.271,280.69, 48.94, 55.62, 52.28
2016 44  0.254,278.73, 48.79, 43.11, 45.95
2016 45  0.231,276.11, 53.38, 40.25, 46.80
2016 46  0.211,273.96, 52.86, 38.21, 45.51
2016 47  0.197,272.22, 53.71, 36.95, 45.33
2016 48  0.179,270.15, 51.96, 36.80, 44.38
2016 49  0.161,268.02, 47.81, 36.18, 41.99
2016 50  0.141,265.96, 42.90, 40.16, 41.53
2016 51  0.125,264.61, 41.87, 46.74, 44.31
2016 52  0.117,263.92, 45.44, 52.74, 49.09
2017 01  0.110,263.18, 51.76, 58.89, 55.33
2017 02  0.105,262.76, 49.76, 61.57, 55.66
2017 03  0.102,262.89, 50.11, 59.59, 54.85
2017 04  0.103,263.56, 50.83, 56.62, 53.72
2017 05  0.106,264.61, 50.83, 51.60, 51.21
2017 06  0.113,266.46, 50.48, 45.26, 47.87
2017 07  0.124,269.17, 50.25, 37.80, 44.02
2017 08  0.140,272.90, 53.39, 28.05, 40.72
2017 09  0.164,277.18, 59.16, 17.50, 38.33
2017 10  0.190,280.70, 63.73, 12.15, 37.94
2017 11  0.217,283.88, 66.68, 11.03, 38.85
2017 12  0.244,286.51, 69.82, 11.14, 40.48
2017 13  0.273,288.95, 72.26, 11.56, 41.91
2017 14  0.305,290.72, 73.77, 11.51, 42.64
2017 15  0.347,292.58, 75.83, 11.37, 43.60
2017 16  0.393,294.22, 77.49, 12.87, 45.18
2017 17  0.435,294.80, 77.58, 18.79, 48.19
2017 18  0.475,295.41, 77.84, 28.14, 52.99
2017 19  0.515,296.19, 78.68, 36.77, 57.72
2017 20  0.544,296.53, 78.85, 43.97, 61.41
2017 21  0.566,296.61, 79.06, 51.08, 65.07
2017 22  0.581,296.64, 78.26, 56.08, 67.17
2017 23  0.591,297.26, 77.31, 54.80, 66.05
2017 24  0.592,297.99, 76.85, 52.30, 64.58
2017 25  0.588,298.11, 75.96, 54.44, 65.20
2017 26  0.577,298.22, 71.81, 56.56, 64.19
2017 27  0.566,298.75, 67.94, 52.37, 60.15
2017 28  0.554,299.44, 65.86, 47.35, 56.60
2017 29  0.538,300.14, 62.56, 42.11, 52.34
2017 30  0.517,300.89, 58.22, 36.20, 47.21
2017 31  0.495,301.96, 54.53, 27.49, 41.01
2017 32  0.471,302.70, 49.80, 20.43, 35.12
2017 33  0.441,302.71, 42.76, 18.32, 30.54
2017 34  0.414,302.43, 36.90, 17.59, 27.24
2017 35  0.390,301.83, 33.25, 15.63, 24.44
2017 36  0.369,300.74, 31.42, 13.65, 22.53
2017 37  0.351,298.91, 31.57, 15.12, 23.35
2017 38  0.331,296.56, 32.20, 21.19, 26.69
2017 39  0.310,294.13, 33.00, 27.63, 30.31
2017 40  0.283,291.21, 32.63, 37.56, 35.09
2017 41  0.250,287.75, 30.57, 46.57, 38.57
2017 42  0.219,284.11, 28.79, 54.32, 41.56
2017 43  0.194,281.47, 27.59, 54.69, 41.15
2017 44  0.172,278.71, 27.49, 43.09, 35.28
2017 45  0.154,275.88, 29.41, 41.81, 35.60
2017 46  0.141,273.48, 29.84, 41.06, 35.44
2017 47  0.133,271.70, 31.90, 40.00, 35.95
2017 48  0.128,270.37, 33.48, 35.83, 34.66
2017 49  0.124,269.23, 34.81, 28.55, 31.67
2017 50  0.125,269.03, 35.87, 24.86, 30.36
2017 51  0.126,268.87, 41.07, 24.14, 32.60
2017 52  0.125,268.50, 48.31, 25.91, 37.11
2018 01  0.120,268.23, 57.05, 27.58, 42.32
2018 02  0.113,267.44, 54.82, 33.38, 44.10
2018 03  0.106,266.82, 53.12, 38.27, 45.70
2018 04  0.102,266.42, 51.14, 42.18, 46.66
2018 05  0.100,266.00, 48.27, 44.92, 46.59
2018 06  0.100,266.04, 44.52, 47.10, 45.81
2018 07  0.102,266.24, 40.44, 49.81, 45.12
2018 08  0.104,266.37, 38.45, 52.70, 45.57
2018 09  0.103,265.92, 35.53, 57.80, 46.67
</pre></tt>