Mean data for UKR  Province= 11: Kiev,  from 1981 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201301.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2013 01  0.109,260.85, 20.66, 64.97, 42.82
2013 02  0.106,260.88, 20.20, 67.75, 43.98
2013 03  0.102,260.84, 21.70, 73.44, 47.56
2013 04  0.099,260.95, 24.02, 75.13, 49.57
2013 05  0.099,261.31, 25.95, 72.57, 49.26
2013 06  0.101,261.57, 25.56, 71.70, 48.62
2013 07  0.106,262.40, 25.36, 67.90, 46.62
2013 08  0.115,263.64, 26.80, 63.18, 44.98
2013 09  0.124,264.84, 28.89, 60.85, 44.86
2013 10  0.135,266.17, 28.25, 62.10, 45.15
2013 11  0.149,267.74, 27.28, 64.49, 45.86
2013 12  0.167,270.06, 27.29, 66.29, 46.77
2013 13  0.193,273.09, 28.25, 66.22, 47.23
2013 14  0.230,277.00, 31.23, 64.09, 47.66
2013 15  0.280,282.05, 38.72, 56.60, 47.66
2013 16  0.336,286.62, 46.50, 45.00, 45.75
2013 17  0.395,290.32, 52.97, 35.21, 44.09
2013 18  0.452,292.69, 57.94, 31.42, 44.68
2013 19  0.497,293.91, 59.15, 31.69, 45.42
2013 20  0.536,294.79, 60.07, 33.07, 46.57
2013 21  0.570,295.45, 63.07, 32.39, 47.73
2013 22  0.598,295.78, 65.93, 31.61, 48.77
2013 23  0.621,295.88, 70.98, 31.43, 51.20
2013 24  0.639,296.03, 76.50, 30.81, 53.66
2013 25  0.648,296.19, 79.33, 29.85, 54.59
2013 26  0.650,296.14, 78.10, 29.62, 53.86
2013 27  0.648,296.04, 77.26, 32.46, 54.86
2013 28  0.642,295.90, 76.55, 37.09, 56.82
2013 29  0.636,295.98, 77.10, 39.57, 58.34
2013 30  0.628,296.27, 77.22, 40.22, 58.73
2013 31  0.612,296.11, 73.61, 41.72, 57.67
2013 32  0.591,295.63, 68.20, 43.57, 55.89
2013 33  0.567,294.83, 61.75, 46.30, 54.03
2013 34  0.537,293.52, 53.51, 53.48, 53.49
2013 35  0.499,291.45, 44.18, 68.30, 56.24
2013 36  0.461,289.43, 37.05, 78.01, 57.53
2013 37  0.428,287.70, 34.80, 81.41, 58.11
2013 38  0.404,286.14, 34.45, 83.84, 59.15
2013 39  0.384,284.99, 34.34, 81.59, 57.97
2013 40  0.368,284.06, 34.91, 77.86, 56.39
2013 41  0.351,283.37, 35.30, 65.39, 50.35
2013 42  0.341,282.93, 40.92, 44.56, 42.74
2013 43  0.324,281.99, 43.78, 28.20, 35.99
2013 44  0.304,280.51, 44.57, 15.95, 30.26
2013 45  0.289,279.00, 50.65, 11.09, 30.86
2013 46  0.273,276.85, 55.48, 15.13, 35.31
2013 47  0.254,274.69, 59.63, 19.73, 39.66
2013 48  0.237,272.98, 59.51, 26.24, 42.86
2013 49  0.219,271.44, 54.66, 30.32, 42.47
2013 50  0.210,270.51, 56.87, 31.49, 44.17
2013 51  0.197,269.32, 54.99, 31.58, 43.27
2013 52  0.189,268.41, 55.42, 30.71, 43.07
2014 01  0.178,267.24, 55.00, 32.00, 43.50
2014 02  0.173,266.01, 53.63, 39.80, 46.72
2014 03  0.170,265.41, 54.44, 47.00, 50.71
2014 04  0.174,265.86, 59.27, 47.49, 53.37
2014 05  0.182,267.17, 62.86, 42.80, 52.82
2014 06  0.194,269.54, 64.60, 33.79, 49.19
2014 07  0.213,272.21, 66.76, 23.22, 44.97
2014 08  0.239,275.23, 71.57, 12.65, 42.09
2014 09  0.266,278.18, 77.55,  6.21, 41.85
2014 10  0.293,280.87, 80.98,  3.31, 42.12
2014 11  0.316,283.33, 81.56,  1.49, 41.50
2014 12  0.336,285.37, 82.04,  2.97, 42.49
2014 13  0.356,286.86, 82.16,  4.96, 43.55
2014 14  0.377,288.15, 81.66,  6.58, 44.12
2014 15  0.404,289.23, 80.52, 12.43, 46.47
2014 16  0.434,290.21, 78.08, 20.69, 49.39
2014 17  0.470,291.22, 76.44, 28.68, 52.56
2014 18  0.502,292.11, 73.80, 36.99, 55.40
2014 19  0.535,293.11, 71.72, 39.76, 55.74
2014 20  0.561,293.48, 69.00, 46.34, 57.67
2014 21  0.583,293.41, 68.28, 53.08, 60.68
2014 22  0.605,293.61, 69.32, 54.06, 61.69
2014 23  0.630,294.19, 75.87, 48.54, 62.20
2014 24  0.646,294.40, 80.61, 47.53, 64.08
2014 25  0.655,294.52, 82.89, 47.86, 65.38
2014 26  0.657,294.46, 81.59, 48.48, 65.04
2014 27  0.657,294.72, 80.82, 47.12, 63.97
2014 28  0.654,295.09, 80.75, 45.92, 63.34
2014 29  0.649,295.51, 81.34, 44.68, 63.02
2014 30  0.641,295.90, 81.25, 43.93, 62.60
2014 31  0.628,295.91, 78.96, 43.71, 61.34
2014 32  0.614,295.65, 75.92, 43.48, 59.70
2014 33  0.596,295.06, 71.78, 44.14, 57.97
2014 34  0.575,294.44, 67.92, 43.62, 55.77
2014 35  0.555,293.75, 66.13, 41.99, 54.06
2014 36  0.536,292.91, 66.98, 38.44, 52.71
2014 37  0.515,292.12, 70.09, 31.38, 50.73
2014 38  0.493,291.14, 70.79, 25.98, 48.38
2014 39  0.466,289.52, 68.79, 27.03, 47.90
2014 40  0.439,287.65, 67.08, 31.78, 49.43
2014 41  0.414,285.72, 66.67, 36.41, 51.54
2014 42  0.383,283.74, 63.15, 34.86, 49.00
2014 43  0.354,282.04, 60.02, 27.85, 43.94
2014 44  0.325,280.07, 55.78, 20.89, 38.33
2014 45  0.295,277.60, 55.34, 25.86, 40.59
2014 46  0.263,275.05, 52.77, 32.34, 42.56
2014 47  0.229,272.95, 47.95, 33.98, 40.96
2014 48  0.204,271.05, 44.68, 38.66, 41.67
2014 49  0.190,269.21, 42.52, 42.91, 42.70
2014 50  0.187,268.26, 47.18, 44.44, 45.80
2014 51  0.187,267.75, 50.85, 40.66, 45.75
2014 52  0.183,267.12, 53.18, 37.42, 45.30
2015 01  0.184,266.68, 57.90, 34.64, 46.27
2015 02  0.181,266.41, 58.08, 37.50, 47.79
2015 03  0.174,266.61, 56.13, 40.42, 48.26
2015 04  0.167,267.31, 56.11, 39.44, 47.77
2015 05  0.165,268.09, 55.08, 37.86, 46.46
2015 06  0.167,268.93, 52.98, 36.84, 44.91
2015 07  0.176,270.46, 52.57, 31.80, 42.17
2015 08  0.193,272.93, 55.61, 23.40, 39.49
2015 09  0.213,275.66, 60.49, 17.09, 38.78
2015 10  0.238,278.40, 63.92, 13.73, 38.80
2015 11  0.265,281.03, 66.38, 11.16, 38.75
2015 12  0.288,283.08, 67.64, 12.47, 40.05
2015 13  0.307,284.87, 67.48, 13.66, 40.57
2015 14  0.330,286.85, 66.84, 13.16, 40.00
2015 15  0.360,289.05, 66.42, 13.16, 39.79
2015 16  0.393,291.09, 65.11, 14.30, 39.71
2015 17  0.434,293.04, 64.93, 14.01, 39.47
2015 18  0.474,294.37, 64.33, 16.59, 40.46
2015 19  0.508,295.15, 62.37, 20.21, 41.29
2015 20  0.543,296.05, 62.17, 21.17, 41.67
2015 21  0.576,296.98, 65.00, 18.10, 41.55
2015 22  0.600,297.36, 66.64, 16.57, 41.60
2015 23  0.621,297.74, 71.21, 13.77, 42.49
2015 24  0.634,297.69, 74.60, 14.49, 44.54
2015 25  0.639,297.53, 75.03, 15.97, 45.50
2015 26  0.638,297.33, 72.15, 17.08, 44.62
2015 27  0.633,297.26, 69.67, 19.51, 44.59
2015 28  0.627,297.50, 68.92, 20.04, 44.48
2015 29  0.619,297.83, 69.47, 20.41, 44.94
2015 30  0.610,298.24, 69.80, 20.76, 45.28
2015 31  0.599,298.47, 68.46, 18.66, 43.56
2015 32  0.581,298.46, 63.79, 15.84, 39.82
2015 33  0.563,298.16, 59.31, 12.63, 35.97
2015 34  0.541,297.34, 54.56, 12.01, 33.28
2015 35  0.517,296.23, 51.20, 13.31, 32.26
2015 36  0.496,295.03, 50.85, 13.88, 32.37
2015 37  0.478,293.63, 54.34, 14.33, 34.33
2015 38  0.460,292.08, 56.90, 15.90, 36.40
2015 39  0.438,290.22, 57.02, 19.45, 38.23
2015 40  0.416,288.28, 57.00, 24.65, 40.82
2015 41  0.388,286.01, 54.69, 33.00, 43.85
2015 42  0.353,283.52, 48.71, 37.66, 43.18
2015 43  0.317,280.93, 42.15, 41.42, 41.78
2015 44  0.280,278.77, 35.70, 36.36, 36.03
2015 45  0.245,276.87, 30.61, 33.31, 31.95
2015 46  0.222,274.73, 30.62, 34.86, 32.74
2015 47  0.205,272.90, 35.14, 34.30, 34.70
2015 48  0.199,271.93, 41.58, 33.30, 37.41
2015 49  0.196,271.10, 44.64, 32.68, 38.65
2015 50  0.194,270.14, 50.24, 34.06, 42.14
2015 51  0.187,268.95, 51.47, 34.15, 42.81
2015 52  0.180,267.51, 52.61, 35.29, 43.95
2016 01  0.172,266.11, 53.14, 37.18, 45.16
2016 02  0.162,265.08, 49.50, 44.27, 46.89
2016 03  0.160,265.33, 50.03, 47.30, 48.66
2016 04  0.160,266.43, 53.36, 44.13, 48.74
2016 05  0.166,268.19, 55.50, 37.20, 46.34
2016 06  0.173,269.87, 55.28, 32.05, 43.66
2016 07  0.182,271.55, 54.97, 26.31, 40.63
2016 08  0.192,273.11, 55.87, 22.23, 39.04
2016 09  0.198,274.33, 55.69, 22.28, 38.97
2016 10  0.208,275.76, 54.38, 24.04, 39.19
2016 11  0.261,279.76, 65.74, 16.57, 41.13
2016 12  0.286,282.42, 67.47, 15.22, 41.33
2016 13  0.311,284.86, 69.00, 13.72, 41.36
2016 14  0.337,287.09, 69.11, 11.62, 40.37
2016 15  0.371,289.10, 70.09, 12.22, 41.16
2016 16  0.412,290.78, 70.98, 15.70, 43.34
2016 17  0.446,291.55, 68.77, 25.26, 47.02
2016 18  0.471,291.65, 63.21, 40.89, 52.05
2016 19  0.498,292.21, 58.64, 48.16, 53.40
2016 20  0.525,292.73, 55.24, 53.28, 54.26
2016 21  0.549,292.94, 54.02, 57.36, 55.69
2016 22  0.574,293.30, 55.20, 56.64, 55.92
2016 23  0.598,293.84, 60.41, 51.72, 56.07
2016 24  0.618,294.40, 67.04, 47.21, 57.13
2016 25  0.633,294.97, 72.55, 43.02, 57.79
2016 26  0.640,295.21, 73.21, 40.27, 56.74
2016 27  0.644,295.76, 74.71, 35.90, 55.31
2016 28  0.646,296.39, 77.35, 31.95, 54.65
2016 29  0.641,296.70, 78.21, 32.22, 55.22
2016 30  0.630,296.84, 77.45, 34.54, 56.00
2016 31  0.618,296.98, 75.35, 32.98, 54.17
2016 32  0.603,297.03, 72.46, 29.48, 50.97
2016 33  0.586,296.95, 68.82, 24.13, 46.48
2016 34  0.564,296.49, 64.15, 20.31, 42.23
2016 35  0.541,295.87, 60.98, 16.52, 38.75
2016 36  0.518,295.01, 59.81, 13.62, 36.71
2016 37  0.484,293.26, 57.35, 18.25, 37.80
2016 38  0.450,291.04, 53.09, 27.57, 40.33
2016 39  0.409,287.99, 44.40, 46.65, 45.52
2016 40  0.371,285.07, 35.31, 66.19, 50.75
2016 41  0.338,282.35, 27.82, 78.08, 52.95
2016 42  0.304,279.39, 20.93, 88.78, 54.86
2016 43  0.273,276.90, 17.90, 88.75, 53.33
2016 44  0.247,274.80, 18.39, 82.70, 50.55
2016 45  0.220,272.58, 17.13, 77.74, 47.43
2016 46  0.196,270.38, 16.62, 75.08, 45.85
2016 47  0.175,267.94, 18.16, 72.67, 45.40
2016 48  0.164,266.40, 24.83, 67.06, 45.94
2016 49  0.161,265.76, 30.33, 61.25, 45.78
2016 50  0.154,264.97, 33.35, 62.27, 47.80
2016 51  0.149,264.64, 35.62, 58.29, 46.95
2016 52  0.144,264.36, 36.55, 52.42, 44.48
2017 01  0.141,264.67, 37.44, 45.44, 41.44
2017 02  0.140,264.76, 37.54, 46.44, 41.99
2017 03  0.137,264.54, 38.22, 51.92, 45.06
2017 04  0.137,264.82, 41.12, 53.32, 47.22
2017 05  0.141,265.86, 43.40, 49.31, 46.35
2017 06  0.148,267.50, 44.49, 43.50, 43.99
2017 07  0.159,269.82, 45.74, 34.28, 40.00
2017 08  0.176,272.49, 49.53, 24.84, 37.18
2017 09  0.197,275.17, 55.00, 18.71, 36.84
2017 10  0.221,278.03, 58.57, 14.89, 36.71
2017 11  0.248,280.85, 61.21, 11.81, 36.49
2017 12  0.277,283.40, 64.58, 11.36, 37.96
2017 13  0.307,285.78, 67.82, 10.06, 38.94
2017 14  0.338,287.79, 69.80,  9.14, 39.47
2017 15  0.370,289.49, 70.28, 11.87, 41.07
2017 16  0.400,290.98, 67.80, 17.10, 42.45
2017 17  0.429,291.84, 64.02, 26.23, 45.13
2017 18  0.462,292.99, 60.84, 31.80, 46.32
2017 19  0.494,294.22, 58.00, 32.08, 45.04
2017 20  0.521,295.09, 54.73, 33.29, 44.01
2017 21  0.542,295.49, 52.08, 34.84, 43.46
2017 22  0.560,295.67, 49.65, 35.66, 42.66
2017 23  0.576,296.20, 49.93, 31.05, 40.49
2017 24  0.593,296.76, 54.01, 26.33, 40.17
2017 25  0.604,296.74, 57.56, 26.57, 42.06
2017 26  0.610,296.67, 59.15, 26.00, 42.57
2017 27  0.613,296.74, 60.95, 26.31, 43.63
2017 28  0.613,296.54, 63.20, 31.08, 47.14
2017 29  0.608,296.18, 64.95, 38.13, 51.54
2017 30  0.602,296.15, 66.82, 41.85, 54.34
2017 31  0.599,296.48, 68.13, 38.54, 53.34
2017 32  0.589,296.39, 66.27, 36.56, 51.42
2017 33  0.567,295.47, 60.59, 40.49, 50.54
2017 34  0.540,294.44, 53.95, 44.25, 49.10
2017 35  0.519,293.86, 52.11, 40.87, 46.49
2017 36  0.498,292.80, 52.36, 39.91, 46.14
2017 37  0.473,290.87, 52.81, 46.53, 49.67
2017 38  0.445,288.99, 51.05, 52.24, 51.64
2017 39  0.414,287.21, 47.40, 55.74, 51.57
2017 40  0.375,284.61, 39.37, 70.01, 54.69
2017 41  0.335,281.64, 30.03, 81.14, 55.59
2017 42  0.296,278.86, 22.39, 85.44, 53.92
2017 43  0.260,276.68, 20.74, 82.19, 51.46
2017 44  0.234,274.58, 16.68, 78.14, 47.41
2017 45  0.212,272.94, 17.10, 69.86, 43.48
2017 46  0.187,270.98, 16.35, 65.91, 41.13
2017 47  0.175,269.47, 20.84, 58.90, 39.86
2017 48  0.168,268.22, 28.04, 55.06, 41.54
2017 49  0.151,266.21, 28.21, 57.00, 42.59
2017 50  0.145,265.57, 30.61, 57.64, 44.12
2017 51  0.147,266.09, 35.80, 48.85, 42.31
2017 52  0.154,266.35, 41.82, 40.46, 41.14
2018 01  0.161,266.67, 48.71, 33.96, 41.33
2018 02  0.163,266.04, 50.41, 38.84, 44.63
2018 03  0.162,265.64, 51.63, 45.62, 48.62
2018 04  0.158,265.06, 52.90, 52.48, 52.69
2018 05  0.148,264.15, 48.45, 58.81, 53.62
2018 06  0.138,263.17, 41.68, 64.95, 53.31
2018 07  0.131,262.22, 35.93, 69.87, 52.89
2018 08  0.127,261.26, 32.43, 74.61, 53.51
2018 09  0.125,260.63, 30.46, 78.68, 54.55
</pre></tt>